output:ms6_aab001 timestep:0.001000 sim_time:200.000000 thermostat_temperature:150.000000 relaxation_time:20.000000 mode:1 lattice_size:4 lattice_spacing:1.500000 cutoff_radius:150.000000 
                time        total_energy      kinetic_energy    potential_energy          temprature
       12.8310000000       16.2573732181       16.2573732181        0.0000000000       76.2064445804
       12.9720000000       16.3679711635       16.3679711635        0.0000000000       76.7248725012
       13.1130000000       16.4777921160       16.4777921160        0.0000000000       77.2396582677
       13.2540000000       16.5868415344       16.5868415344        0.0000000000       77.7508274676
       13.3950000000       16.6951248390       16.6951248390        0.0000000000       78.2584055085
       13.5360000000       16.8026474120       16.8026474120        0.0000000000       78.7624176198
       13.6770000000       16.9094145978       16.9094145978        0.0000000000       79.2628888534
       13.8180000000       17.0154317034       17.0154317034        0.0000000000       79.7598440854
       13.9590000000       17.1207039982       17.1207039982        0.0000000000       80.2533080171
       14.1000000000       17.2252367150       17.2252367150        0.0000000000       80.7433051760
       14.2410000000       17.3290350496       17.3290350496        0.0000000000       81.2298599178
       14.3820000000       17.4321041611       17.4321041611        0.0000000000       81.7129964265
       14.5230000000       17.5344491728       17.5344491728        0.0000000000       82.1927387167
       14.6640000000       17.6360751717       17.6360751717        0.0000000000       82.6691106340
       14.8050000000       17.7369872090       17.7369872090        0.0000000000       83.1421358566
       14.9460000000       17.8371903008       17.8371903008        0.0000000000       83.6118378963
       15.0870000000       17.9366894276       17.9366894276        0.0000000000       84.0782400997
       15.2280000000       18.0354895350       18.0354895350        0.0000000000       84.5413656494
       15.3690000000       18.1335955339       18.1335955339        0.0000000000       85.0012375652
       15.5100000000       18.2310123006       18.2310123006        0.0000000000       85.4578787051
       15.6510000000       18.3277446774       18.3277446774        0.0000000000       85.9113117665
       15.7920000000       18.4237974723       18.4237974723        0.0000000000       86.3615592874
       15.9330000000       18.5191754595       18.5191754595        0.0000000000       86.8086436474
       16.0740000000       18.6138833800       18.6138833800        0.0000000000       87.2525870690
       16.2150000000       18.7079259411       18.7079259411        0.0000000000       87.6934116185
       16.3560000000       18.8013078174       18.8013078174        0.0000000000       88.1311392070
       16.4970000000       18.8940336502       18.8940336502        0.0000000000       88.5657915920
       16.6380000000       18.9861080487       18.9861080487        0.0000000000       88.9973903780
       16.7790000000       19.0775355893       19.0775355893        0.0000000000       89.4259570175
       16.9200000000       19.1683208166       19.1683208166        0.0000000000       89.8515128127
