
                time        total_energy      kinetic_energy    potential_energy          temprature
       12.0207850000     -287.6014148934     3123.1890763457    -3023.9799983411     -287.6014148934
       12.1622060000      331.9834645144     3482.3771924343    -3027.8862546909      331.9834645144
       12.3036270000      394.0055999868     3300.7748450268    -3030.6754702043      394.0055999868
       12.4450480000      108.5783109352     3037.6499506012    -3051.2862629892      108.5783109352
       12.5864690000     -172.1083849697     2715.5182591594    -3053.8680336500     -172.1083849697
       12.7278900000     -520.2499536642     2360.0372074347    -3033.9641222724     -520.2499536642
       12.8693110000     -778.7429611876     2198.5958160782    -3054.6246230930     -778.7429611876
       13.0107320000     -831.6184162814     2284.7436785738    -3049.0422097403     -831.6184162814
       13.1521530000     -619.0578104354     2600.4299408551    -3052.3762632174     -619.0578104354
       13.2935740000     -243.1051978605     3033.7363093987    -3063.3477179649     -243.1051978605
       13.4349950000      201.9451832517     3472.4121795395    -3068.0234334416      201.9451832517
       13.5764160000      525.1358753110     3664.4010465234    -3070.2477234824      525.1358753110
       13.7178370000      573.6006897733     3587.3983619074    -3069.7557084544      573.6006897733
       13.8592580000      415.3824465426     3379.4741651576    -3064.5623206165      415.3824465426
       14.0006790000      194.1342410160     3128.0822571139    -3062.2616091683      194.1342410160
       14.1421000000      -57.5753491974     2880.1007321075    -3055.6446687524      -57.5753491974
       14.2835210000     -271.4639521068     2709.6361587322    -3054.1042184401     -271.4639521068
       14.4249420000     -364.1166826207     2700.7446341263    -3054.1838197715     -364.1166826207
       14.5663630000     -283.2546061409     2866.6657645635    -3050.1806900579     -283.2546061409
       14.7077840000      -48.5930228394     3140.5444260066    -3053.1564734045      -48.5930228394
       14.8492050000      204.9811416200     3351.5300450336    -3055.5312624293      204.9811416200
       14.9906260000      318.3607729820     3356.1952941660    -3055.8380996131      318.3607729820
       15.1320470000      209.6805588809     3150.8854683298    -3054.0078535787      209.6805588809
       15.2734680000      -25.4437050844     2930.5017712295    -3056.5989482266      -25.4437050844
       15.4148890000     -158.8237512845     2916.5356236811    -3060.8017565858     -158.8237512845
       15.5563100000      -70.7984532242     3076.9075477354    -3058.7076293970      -70.7984532242
       15.6977310000      163.3990665335     3324.1572923564    -3044.5933901025      163.3990665335
       15.8391520000      346.8490028646     3430.2380259673    -3049.5623584765      346.8490028646
       15.9805730000      359.1927823072     3359.6233195987    -3037.9366760367      359.1927823072
       16.1219940000      248.5760466552     3225.4493391210    -3037.3794799338      248.5760466552
       16.2634150000      115.4331070581     3070.8451258255    -3036.0457816439      115.4331070581
       16.4048360000      -60.0904726049     2878.1546869649    -3034.3074925338      -60.0904726049
       16.5462570000     -254.3649240756     2684.6361631127    -3032.5392508145     -254.3649240756
       16.6876780000     -431.5932765772     2526.4805095424    -3031.1082564984     -431.5932765772
       16.8290990000     -554.1285332779     2442.4915080110    -3030.4123020898     -554.1285332779
       16.9705200000     -585.7153632231     2460.5576908158    -3019.4276135515     -585.7153632231
       17.1119410000     -527.6545676371     2515.5351944611    -3020.1438194364     -527.6545676371
       17.2533620000     -508.0993576183     2492.1224446150    -3020.0727913844     -508.0993576183
       17.3947830000     -572.8300566469     2393.5198398252    -3014.2563170634     -572.8300566469
       17.5362040000     -661.8761726470     2326.5337700952    -3013.7194737087     -661.8761726470
       17.6776250000     -667.0023039685     2403.5924576397    -3024.3535452530     -667.0023039685
